Modèle,Taille (Mo),Accuracy,F1-macro,Latence moy (ms),Compression vs F32
Float32,9.08901596069336,0.8275048570635581,0.8509950072328349,12.087948944976917,1.0
Float16,4.573131561279297,0.8279211767971135,0.8509864159022426,11.647902493208209,1.9874818467174777
INT8,2.7454833984375,0.8234804329725229,0.8426427715404884,16.34849907787449,3.3105339357965406
